词语	拼音	词性	分级	义类编码
便衣	biànyī	名	3	贰七Cb
便装	biànzhuāng	名	3	贰七Cb
遍	biàn	量	1	叁十Cb
遍	biàn	形	1	捌三Ba
遍布	biànbù	动	3	柒二Dc
遍地	biàndì	名	2	肆二Ah
遍体鳞伤	biàntǐ-línshāng		4	伍四Ha
辨别	biànbié	动	3	伍七Hg
辨认	biànrèn	动	3	伍七Hg
辩	biàn	动	2	陆十一Ab
辩护	biànhù	动	3	陆十一Ab
辩解	biànjiě	动	4	陆十一Ab
辩论	biànlùn	动	2	陆十一Ab
辩说	biànshuō	动	3	陆十一Ab
辫子	biàn·zi	名	3	壹五Ah
标	biāo	动	2	柒六Bd
标榜	biāobǎng	动	4	陆九Eg
标本	biāoběn	名	4	贰二Cc
标兵	biāobīng	名	3	壹一Ia
标记	biāojì	名	2	叁八Ch
标记	biāojì	动	2	柒六Bd
标签	biāoqiān	名	3	叁八Ef
标识	biāoshí	名	3	贰八Ce
标题	biāotí	名	2	叁二Ha
标新立异	biāoxīn-lìyì		3	捌四Cb
标语	biāoyǔ	名	2	叁八Cg
标志	biāozhì	名	2	贰八Ce
标志	biāozhì	名	2	叁八Ch
标志	biāozhì	动	2	柒六Bd
标致	biāo·zhì	形	4	捌三La
标注	biāozhù	名	3	叁八Gd
标注	biāozhù	动	3	柒六Bd
标准	biāozhǔn	名	2	叁二Ea
标准	biāozhǔn	形	2	捌四Ea
表	biǎo	名	1	贰五Dd
表	biǎo	名	1	贰七Bh
表	biǎo	形	2	捌四Me
表	biǎo	形	2	捌四Yb
表达	biǎodá	动	3	陆九Fe
表决	biǎojué	动	3	陆一Kb
表里不一	biǎolǐ-bùyī		3	捌五Bc
表里如一	biǎolǐ-rúyī		3	捌五Ba
表露	biǎolù	动	3	陆九Fe
表面	biǎomiàn	名	2	叁二Db
表明	biǎomíng	动	3	陆九Fe
表浅	biǎoqiǎn	形	3	捌四Me
表情	biǎoqíng	名	2	叁二Fc
表示	biǎoshì	动	2	陆九Fe
表示	biǎoshì	动	2	柒六Ba
表率	biǎoshuài	名	4	壹一Ia
表态	biǎo//tài	动	3	陆九Fe
表现	biǎoxiàn	名	2	叁四Fa
表现	biǎoxiàn	动	2	伍七Gc
表现	biǎoxiàn	动	2	柒六Bc
表象	biǎoxiàng	名	4	叁二Db
表演	biǎoyǎn	动	2	陆五Fa
表扬	biǎoyáng	动	1	陆一Pa
表彰	biǎozhāng	动	4	陆一Pa
憋	biē	动	4	伍五Lc
憋屈	biē·qū	形	4	伍五Bb
鳖	biē	名	4	壹二Eb
别	bié	动	1	伍一Ga
别	bié	副	1	玖一Hb
别出心裁	biéchū-xīncái		4	捌四Cb
别处	biéchù	名	2	肆二Ah
别具一格	biéjù-yīgé		3	捌四Cb
别开生面	biékāi-shēngmiàn		4	捌四Cb
别人	bié·rén	代	1	壹一Ad
别墅	biéshù	名	4	贰六Ac
别有用心	biéyǒu-yòngxīn		2	捌五Ab
别致	biézhì	形	3	捌三Kc
蹩脚	biéjiǎo	形	4	捌四Bb
别扭	biè·niu	形	3	捌四Ef
别扭	biè·niu	形	3	捌四Rd
宾馆	bīnguǎn	名	2	叁七Gb
宾客	bīnkè	名	2	壹一Le
宾至如归	bīnzhì-rúguī		4	捌五Ia
彬彬有礼	bīnbīn-yǒulǐ		3	捌五Gg
缤纷	bīnfēn	形	3	捌三Ac
濒临	bīnlín	动	4	伍八Ja
濒临	bīnlín	动	4	柒二Fb
濒危	bīnwēi	动	4	伍四Ce
冰	bīng	名	1	贰三Cc
冰	bīng	动	1	柒一Da
冰川	bīngchuān	名	2	贰三Ba
冰冻	bīngdòng	动	3	柒一Da
冰棍儿	bīnggùnr	名	2	贰九Ag
冰激凌	bīngjīlíng	名	2	贰九Ag
冰冷	bīnglěng	形	2	捌二Na
冰冷	bīnglěng	形	2	捌五Ib
冰凉	bīngliáng	形	2	捌二Na
冰清玉洁	bīngqīng-yùjié		3	捌五Ra
冰天雪地	bīngtiān-xuědì		2	捌二Na
冰箱	bīngxiāng	名	1	贰七Ad
冰雪	bīngxuě	名	2	贰三Cc
兵	bīng	名	2	壹一Jq
兵不血刃	bīngbùxuèrèn		4	捌四Na
兵不厌诈	bīngbùyànzhà		4	陆十一Cd
兵荒马乱	bīnghuāng-mǎluàn		3	捌六Bb
兵力	bīnglì	名	3	叁六Aa
兵临城下	bīnglínchéngxià		3	捌六Fb
兵强马壮	bīngqiáng-mǎzhuàng		3	捌四Na
丙	bǐng	名	4	肆一Ab
秉持	bǐngchí	动	4	伍一Ca
秉性	bǐngxìng	名	4	叁二Ia
柄	bǐng	名	2	贰二Fe
饼	bǐng	名	1	贰九Ac
饼干	bǐnggān	名	1	贰九Ag
饼子	bǐng·zi	名	1	贰九Ac
禀赋	bǐngfù	名	4	叁二Ie
并	bìng	连	2	玖三Aa
并非	bìngfēi	动	3	柒六Dc
并驾齐驱	bìngjià-qíqū		4	柒六Eb
并肩	bìngjiān	动	3	玖一Ca
并列	bìngliè	动	2	柒六Eb
并排	bìngpái	动	2	柒二Db
并且	bìngqiě	连	2	玖三Aa
并未	bìngwèi	副	3	玖一Ha
并行不悖	bìngxíng-bùbèi		4	柒六Eb
病	bìng	名	1	叁九Ea
病	bìng	动	1	伍四Ia
病床	bìngchuáng	名	2	叁九Ee
病毒	bìngdú	名	3	壹四Ba
病房	bìngfáng	名	2	贰六Af
病故	bìnggù	动	3	伍四Cb
病菌	bìngjūn	名	4	壹四Ba
病魔	bìngmó	名	3	叁九Ea
病情	bìngqíng	名	3	叁一Fb
病人	bìngrén	名	1	壹一Fa
病症	bìngzhèng	名	4	叁九Ea
拨	bō	动	2	伍一Ai
拨	bō	动	4	陆一Ha
拨打	bōdǎ	动	2	陆九Da
拨款	bōkuǎn	名	4	叁七Eb
拨款	bō//kuǎn	动	4	陆一Ha
拨乱反正	bōluàn-fǎnzhèng		4	伍七Fa
拨弄	bō·nòng	动	3	伍一Ha
波及	bōjí	动	3	柒六Nc
波澜	bōlán	名	4	贰三Da
波澜壮阔	bōlán-zhuàngkuò		4	捌四Nb
波浪	bōlàng	名	2	贰三Da
波涛	bōtāo	名	2	贰三Da
波折	bōzhé	名	4	叁一Ab
玻璃	bō·li	名	2	贰四Ec
剥夺	bōduó	动	4	陆七Db
剥落	bōluò	动	4	柒二Be
剥削	bōxuē	动	3	陆十一He
播	bō	动	2	伍一Ec
播放	bōfàng	动	2	柒三Ka
播音	bō//yīn	动	2	柒三Ka
播种	bōzhǒng	动	2	陆三Jc
伯伯	bó·bo	名	1	壹一Df
伯乐	Bólè	名	3	壹一Ia
驳杂	bózá	形	4	捌六Hb
勃然大怒	bórán-dànù		3	伍五Ca
脖子	bó·zi	名	1	壹五Ae
博采众长	bócǎi-zhòngcháng		3	柒三Be
博大精深	bódà-jīngshēn		4	捌五Za
博古通今	bógǔ-tōngjīn		4	捌五Za
博客	bókè	名	3	叁八Fd
博览群书	bólǎn-qúnshū		3	捌五Za
博士	bóshì	名	4	叁四Cc
博闻强记	bówén-qiángjì		4	捌五Za
博物馆	bówùguǎn	名	3	叁七Gb
博学	bóxué	形	3	捌五Za
搏斗	bódòu	动	2	陆十一Eb
搏击	bójī	动	3	陆十一Eb
薄弱	bóruò	形	3	捌四Nd
薄雾	bówù	名	3	贰三Cd
跛	bǒ	动	4	伍四Hc
跛子	bǒ·zi	名	4	壹一Fb
薄荷	bò·he	名	3	壹三Cc
补	bǔ	动	2	伍七Bd
补	bǔ	动	2	伍七Bh
补偿	bǔcháng	动	3	柒五Ab
补充	bǔchōng	动	2	柒五Ab
补给	bǔjǐ	动	3	柒五Ab
补救	bǔjiù	动	3	伍七Fa
补考	bǔkǎo	动	2	陆五Ad
补贴	bǔtiē	名	3	叁七Fa
补习	bǔxí	动	2	陆五Ba
补助	bǔzhù	动	2	陆十Cd
捕风捉影	bǔfēng-zhuōyǐng		4	捌四Ab
捕获	bǔhuò	动	3	陆七Ba
捕捞	bǔlāo	动	3	陆三Kb
捕食	bǔshí	动	2	伍七Ca
捕捉	bǔzhuō	动	2	陆七Ba
哺乳	bǔrǔ	动	4	伍七Cd
哺育	bǔyù	动	3	陆三La
不	bù	副	1	玖一Ha
不安	bù’ān	形	2	伍五Ea
不白之冤	bùbáizhīyuān		4	叁一Ed
不卑不亢	bùbēi-bùkàng		4	捌四Ee
不必	bùbì	副	2	玖一Ha
不便	bùbiàn	形	2	捌四Fd
不便	bùbiàn	形	2	捌四Ka
不曾	bùcéng	副	3	玖一Eh
不成体统	bù chéng tǐtǒng		4	捌四Bb
不耻下问	bùchǐ-xiàwèn		4	捌五Ha
不辞而别	bùcí’érbié		3	陆九Aj
不错	bùcuò	形	1	捌四Ca
不但	bùdàn	连	2	玖三Ba
不得	bùdé		2	陆九Ah
不得不	bùdébù		2	伍五Zb
不得了	bùdéliǎo	形	2	捌四Ma
不得已	bùdéyǐ	形	4	伍五Be
不动声色	bùdòng-shēngsè		3	伍五Fb
不动声色	bùdòng-shēngsè		3	捌四Sd
不断	bùduàn	副	1	玖一Eg
不凡	bùfán	形	3	捌四Cc
不妨	bùfáng	副	3	玖一Ga
不敢当	bùgǎndāng	动	4	捌五Ha
不公	bùgōng	形	3	捌五Jb
不共戴天	bùgòngdàitiān		4	捌四Rd
不苟言笑	bùgǒu-yánxiào		4	捌五Ea
不顾	bùgù	动	2	伍五Ma
不管	bùguǎn	连	1	玖三Eb
不过	bùguò	连	1	玖三Da
不寒而栗	bùhán’érlì		4	伍五Ea
不和	bùhé	形	2	捌四Rd
不慌不忙	bùhuāng-bùmáng		2	伍五Fb
不羁	bùjī	形	4	捌五Ee
不计其数	bùjì-qíshù		3	捌三Aa
不假思索	bùjiǎ-sīsuǒ		3	捌三Pa
不见得	bùjiàn·dé	副	3	玖一Da
不见经传	bùjiàn-jīngzhuàn		3	捌四Qf
不解之缘	bùjiězhīyuán		3	叁四Bb
不禁	bùjīn	动	2	伍五Ld
不仅	bùjǐn	副	2	玖一Be
不仅	bùjǐn	连	2	玖三Ba
不近人情	bùjìn-rénqíng		3	捌四Ce
不经意	bù jīngyì		3	伍五Na
不胫而走	bùjìng’érzǒu		4	柒三Kc
不久	bùjiǔ	形	1	捌三Qb
不拘小节	bùjū-xiǎojié		3	捌五Ee
不拘一格	bùjū-yīgé		4	捌四Cb
不觉	bùjué	副	3	玖一Da
不绝如缕	bùjué-rúlǚ		4	捌二Gb
不绝如缕	bùjué-rúlǚ		4	捌六Ab
不绝于耳	bùjuéyú’ěr		3	柒二Nb
不堪回首	bùkān-huíshǒu		4	伍五Ba
不堪设想	bùkān-shèxiǎng		4	捌四Bb
不可告人	bùkě-gàorén		2	捌四Sd
不可救药	bùkě-jiùyào		3	捌五Xd
不可开交	bùkě-kāijiāo		3	柒二Ib
不可理喻	bùkě-lǐyù		3	捌五Pb
不可名状	bùkě-míngzhuàng		4	陆九Ea
不可收拾	bùkě-shōu·shi		3	捌四Ma
不可思议	bùkě-sīyì		2	捌四Ce
不可一世	bùkě-yīshì		4	捌五Hb
不可终日	bùkě-zhōngrì		4	伍五Ea
不愧	bùkuì	副	3	玖一Db
不劳而获	bùláo’érhuò		2	伍八Ib
不离不弃	bùlí-bùqì		3	陆九Ag
不良	bùliáng	形	2	捌四Bb
不了了之	bùliǎo-liǎozhī		3	伍五Nb
不料	bùliào	连	2	玖三Da
不露声色	bùlù-shēngsè		3	捌四Sd
不伦不类	bùlún-bùlèi		3	捌四Ce
不论	bùlùn	连	2	玖三Eb
不满	bùmǎn	形	2	伍五Bd
不毛之地	bùmáozhīdì		3	肆二Bb
不免	bùmiǎn	副	2	玖一Gd
不谋而合	bùmóu’érhé		3	柒六Ea
不偏不倚	bùpiān-bùyǐ		4	捌五Ja
不平	bùpíng	动	3	伍五Cb
不平	bùpíng	形	3	捌五Jb
不平则鸣	bùpíngzémíng		4	伍五Cb
不期而遇	bùqī’éryù		3	柒二Gc
不求甚解	bùqiú-shènjiě		4	捌五Zb
不屈不挠	bùqū-bùnáo		4	捌五Da
不忍	bùrěn	动	3	伍五La
不容置疑	bùróng-zhìyí		3	捌四Aa
不如	bùrú	动	2	柒六Fe
不辱使命	bùrǔ-shǐmìng		4	伍五Ab
不三不四	bùsān-bùsì		3	捌五Qb
不声不响	bùshēng-bùxiǎng		2	伍六Ba
不声不响	bùshēng-bùxiǎng		2	捌四Sd
不胜其烦	bùshèng-qífán		4	捌四Ib
不时	bùshí	副	2	玖一Fb
不速之客	bùsùzhīkè		4	壹一Le
不同凡响	bùtóng-fánxiǎng		3	捌四Cc
不闻不问	bùwén-bùwèn		2	伍五Nb
不惜	bùxī	动	3	伍五Ld
不相上下	bùxiāng-shàngxià		2	柒六Eb
不像话	bùxiànghuà	形	2	捌四Ed
不屑	bùxiè	动	3	伍五Nb
不屑一顾	bùxiè-yīgù		3	伍五Nc
不懈	bùxiè	形	4	捌五Db
不省人事	bùxǐng-rénshì		3	伍四Ib
不幸	bùxìng	名	2	叁一Ec
不幸	bùxìng	形	2	伍八Ba
不修边幅	bùxiū-biānfú		3	捌五Ee
不朽	bùxiǔ	动	3	伍八Gc
不许	bùxǔ	动	2	陆九Ah
不学无术	bùxué-wúshù		4	捌五Zb
不言而喻	bùyán’éryù		3	捌四Sa
不厌其烦	bùyànqífán		2	捌五Ga
不一而足	bùyī’érzú		4	捌三Aa
不依不饶	bùyī-bùráo		4	陆十一Da
不宜	bùyí	形	3	捌四Ef
不遗余力	bùyí-yúlì		4	伍七Ac
不以为然	bùyǐwéirán		3	伍五Qa
不义之财	bùyìzhīcái		3	叁七Da
不翼而飞	bùyì’érfēi		2	伍八Kc
不由得	bùyóu·de	动	2	伍五Ld
不由分说	bùyóufēnshuō		4	捌五Pb
不由自主	bùyóuzìzhǔ		2	伍五Ld
不约而同	bùyuē’értóng		2	柒六Ea
不再	bùzài	副	1	玖一Ha
不在乎	bù zài·hu		2	伍五Na
不在乎	bù zài·hu		2	伍五Nb
不在话下	bùzài-huàxià		3	伍五Ac
不择手段	bùzé-shǒuduàn		3	伍五Ra
不折不扣	bùzhé-bùkòu		3	捌四Aa
不正之风	bùzhèngzhīfēng		3	叁四Da
不知不觉	bùzhī-bùjué		2	玖一De
不知所措	bùzhī-suǒcuò		3	伍五Ed
不止	bùzhǐ	动	2	柒三Cd
不止	bùzhǐ	动	2	柒六Fc
不止	bùzhǐ	副	2	玖一Be
不只	bùzhǐ	副	2	玖一Be
不只	bùzhǐ	连	2	玖三Ba
不至于	bùzhìyú	副	2	玖一Gc
不治之症	bùzhìzhīzhèng		3	叁九Ea
不置可否	bùzhì-kěfǒu		4	伍五Nb
不着边际	bùzhuó-biānjì		3	捌四Hd
不自量力	bùzìliànglì		3	捌五Hb
不足	bùzú	名	2	叁二Bc
不足	bùzú	形	2	捌三Af
不足挂齿	bùzúguàchǐ		4	捌四Lb
不足为奇	bùzúwéiqí		3	捌四Ca
不足为训	bùzúwéixùn		4	捌四Ef
布	bù	名	1	贰七Ca
布告	bùgào	名	3	叁八Ef
布景	bùjǐng	名	4	贰八Ab
布局	bùjú	动	3	陆一Ga
布满	bùmǎn	动	2	柒六Md
布匹	bùpǐ	名	2	贰七Ca
布施	bùshī	动	4	陆八Ca
布置	bùzhì	动	2	柒二Dc
步	bù	动	1	伍一Ka
步步为营	bùbù-wéiyíng		4	捌五Gc
步伐	bùfá	名	3	叁二Fb
步履	bùlǚ	名	4	叁二Fb
步枪	bùqiāng	名	2	贰五Fb
步人后尘	bùrénhòuchén		4	柒六Ed
步行	bùxíng	动	2	伍一Ka
步骤	bùzhòu	名	2	叁一Cb
步子	bù·zi	名	2	叁二Fb
部	bù	名	4	叁五Ac
部	bù	量	2	叁十Ca
部队	bùduì	名	2	叁六Aa
部分	bù·fen	名	2	叁二Da
部分	bù·fen	形	2	捌三Bb
部件	bùjiàn	名	3	贰二Cc
部落	bùluò	名	4	叁四Ac
部门	bùmén	名	4	叁五Ac
部首	bùshǒu	名	2	叁八Ca
部署	bùshǔ	动	4	陆一Ga
部位	bùwèi	名	2	肆二Aa
擦	cā	动	1	伍一Fc
擦	cā	动	1	伍一Ib
猜	cāi	动	2	伍五Sc
猜测	cāicè	动	3	伍五Sc
猜忌	cāijì	动	4	伍五Pb
猜想	cāixiǎng	动	2	伍五Sc
才	cái	名	2	叁二Ie
才	cái	副	1	玖一Ba
才	cái	副	1	玖一Ea
才干	cáigàn	名	3	叁二Ie
才华	cáihuá	名	3	叁二Ie
才华横溢	cáihuá-héngyì		3	捌五Xa
才能	cáinéng	名	2	叁二Ie
才气	cáiqì	名	4	叁二Ie
才疏学浅	cáishū-xuéqiǎn		4	捌五Zb
才艺	cáiyì	名	4	叁二Ie
才智	cáizhì	名	4	叁二Ie
材料	cáiliào	名	2	贰二Ba
材料	cáiliào	名	2	叁八Ef
财产	cáichǎn	名	3	叁七Da
财大气粗	cáidà-qìcū		4	捌六Kb
财富	cáifù	名	2	叁七Da
财经	cáijīng	名	4	叁四Eb
财物	cáiwù	名	2	叁七Da
财政	cáizhèng	名	4	叁一Aa
财主	cái·zhu	名	2	壹一Lh
裁	cái	动	2	伍一Jc
裁缝	cái·feng	名	3	壹一Jn
裁决	cáijué	动	4	陆一Kb
裁判	cáipàn	名	2	壹一Ji
裁判	cáipàn	动	4	陆七Cb
裁员	cáiyuán	动	4	柒五Ba
采	cǎi	动	1	伍一Bc
采伐	cǎifá	动	3	伍一Jd
采访	cǎifǎng	动	2	陆九Ac
采购	cǎigòu	动	3	陆二Ba
采集	cǎijí	动	2	伍七Hb
采纳	cǎinà	动	3	伍七Hh
采取	cǎiqǔ	动	2	伍七Hh
采用	cǎiyòng	动	2	伍七Hh
采摘	cǎizhāi	动	2	伍一Bc
彩虹	cǎihóng	名	2	贰三Cb
彩绘	cǎihuì	名	3	叁九Ca
彩票	cǎipiào	名	2	贰八Cd
彩色	cǎisè	名	1	贰三Ja
彩霞	cǎixiá	名	2	贰三Cb
踩	cǎi	动	1	伍一Ma
菜	cài	名	1	壹三Fa
菜	cài	名	1	贰九Ad
菜单	càidān	名	2	贰八Cb
菜市场	càishìchǎng	名	2	叁七Gb
菜肴	càiyáo	名	3	贰九Ad
菜园	càiyuán	名	1	贰六Da
参观	cānguān	动	1	伍七He
参加	cānjiā	动	1	伍七Ee
参军	cān//jūn	动	2	伍七Dc
参考	cānkǎo	动	2	陆五De
参谋	cānmóu	名	3	壹一Ld
参谋	cānmóu	动	3	陆十Ca
参赛	cānsài	动	2	伍七Ee
参数	cānshù	名	4	叁十Bc
参天	cāntiān	动	3	柒二Ac
参与	cānyù	动	2	伍七Ee
参照	cānzhào	动	3	陆五De
餐	cān	量	1	叁十Ca
餐刀	cāndāo	名	2	贰七Bb
餐馆	cānguǎn	名	2	叁七Gb
餐厅	cāntīng	名	2	贰六Af
餐厅	cāntīng	名	2	叁七Gb
餐桌	cānzhuō	名	2	贰七Aa
残	cán	动	3	伍四Ha
残	cán	形	3	捌三Bd
残败	cánbài	形	4	捌六Cb
残暴	cánbào	形	4	捌五Ab
残存	cáncún	动	4	柒六Kd
残废	cánfèi	名	3	壹一Fb
残废	cánfèi	动	3	伍四Ha
残害	cánhài	动	3	柒六Qa
残疾人	cánjírén	名	2	壹一Fb
残酷	cánkù	形	3	捌五Ab
残留	cánliú	动	3	柒六Kd
残破	cánpò	形	3	捌三Bd
残缺	cánquē	动	3	伍八Fa
残缺	cánquē	形	3	捌三Bd
残忍	cánrěn	形	3	捌五Ab
残阳	cányáng	名	4	贰三Ad
残余	cányú	动	4	柒六Kd
残垣断壁	cányuán-duànbì		4	贰六Ia
蚕	cán	名	2	壹二Fd
惭愧	cánkuì	形	2	伍五Ee
惨	cǎn	形	2	捌六Ib
惨白	cǎnbái	形	3	捌二Ag
惨不忍睹	cǎnbùrěndǔ		3	捌六Ib
惨淡	cǎndàn	形	4	捌六Ib
惨烈	cǎnliè	形	4	捌六Ib
惨痛	cǎntòng	形	4	伍五Ba
惨无人道	cǎnwúréndào		3	捌五Ab
惨重	cǎnzhòng	形	4	捌四Ma
灿烂	cànlàn	形	2	捌二Da
仓促	cāngcù	形	4	捌六Ea
仓皇	cānghuáng	形	4	捌六Ea
仓库	cāngkù	名	2	贰六Ea
苍白	cāngbái	形	2	捌二Ag
苍翠	cāngcuì	形	3	捌二Ae
苍劲	cāngjìng	形	4	捌四Nb
苍老	cānglǎo	形	2	捌三Ia
苍凉	cāngliáng	形	3	捌六Dc
苍茫	cāngmáng	形	3	捌一Ca
苍穹	cāngqióng	名	4	肆二Ba
苍天	cāngtiān	名	3	肆二Ba
苍蝇	cāng·ying	名	2	壹二Fe
苍郁	cāngyù	形	4	捌三Dc
沧海桑田	cānghǎi-sāngtián		4	柒四Aa
沧海一粟	cānghǎi-yīsù		3	捌四Od
沧桑	cāngsāng	名	4	叁一Ab
舱	cāng	名	3	贰五Ec
藏	Zàng	名	3	叁五Ae
藏	cáng	动	2	伍七Ja
藏龙卧虎	cánglóng-wòhǔ		4	伍七Ja
藏品	cángpǐn	名	3	贰二Ce
藏书	cángshū	名	3	叁八Eb
藏污纳垢	cángwū-nàgòu		4	陆十一Fb
操场	cāochǎng	名	1	叁九Dc
操控	cāokòng	动	3	陆一Da
操控	cāokòng	动	3	陆三Bc
操劳	cāoláo	动	3	伍七Ac
操练	cāoliàn	动	3	陆五Be
操心	cāo//xīn	动	2	陆一Bb
操之过急	cāozhī-guòjí		3	捌五Gf
操纵	cāozòng	动	3	陆一Da
操作	cāozuò	动	2	陆三Bc
嘈杂	cáozá	形	4	捌六Da
槽	cáo	名	3	贰六Dd
草	cǎo	名	1	壹三Ca
草案	cǎo’àn	名	4	叁八Ef
草地	cǎodì	名	1	贰三Bb
草菅人命	cǎojiān-rénmìng		4	捌五Ab
草莓	cǎoméi	名	3	壹三Fb
草木	cǎomù	名	2	壹三Aa
草木皆兵	cǎomù-jiēbīng		4	伍五Ea
草坪	cǎopíng	名	2	贰三Bb
草书	cǎoshū	名	3	叁八Ca
草滩	cǎotān	名	3	贰三Bb
草原	cǎoyuán	名	1	贰三Bb
册	cè	名	1	贰八Cc
册	cè	量	1	叁十Ca
册子	cè·zi	名	1	贰八Cc
厕所	cèsuǒ	名	1	贰六Af
侧	cè	名	2	贰二Fc
侧	cè	动	2	伍三Ea
侧面	cèmiàn	名	2	贰二Fc
侧重	cèzhòng	动	2	伍五Mc
测	cè	动	3	陆三Ha
测定	cèdìng	动	4	陆三Ha
测量	cèliáng	动	3	陆三Ha
测评	cèpíng	动	3	陆一Ic
测试	cèshì	动	2	陆五Ad
测算	cèsuàn	动	3	伍七Hi
测验	cèyàn	动	2	陆五Ad
策划	cèhuà	动	4	伍五Wa
策略	cèlüè	名	3	叁三Db
参差	cēncī	形	4	捌六Hb
参差不齐	cēncī-bùqí		4	捌六Hb
层	céng	量	1	叁十Ca
层出不穷	céngchū-bùqióng		3	柒三Fa
层次	céngcì	名	3	叁二Ce
层叠	céngdié	动	3	柒三Ce
层面	céngmiàn	名	3	叁二Ca
曾经	céngjīng	副	2	玖一Eb
叉	chā	名	2	贰七Bb
叉子	chā·zi	名	2	贰七Bb
差别	chābié	名	2	叁二Bb
差错	chācuò	名	2	叁一Ab
差错	chācuò	名	2	叁一Gc
差距	chājù	名	2	叁二Bb
差强人意	chāqiáng-rényì		4	伍五Ab
差异	chāyì	名	3	叁二Bb
插	chā	动	1	伍一Ef
插话	chā//huà	动	2	陆九Eh
插图	chātú	名	2	叁九Ca
插秧	chā//yāng	动	4	陆三Jc
插嘴	chā//zuǐ	动	2	陆九Eh
插座	chāzuò	名	2	贰五Dc
茬	chá	名	4	壹五Cb
茶	chá	名	1	贰九Ai
茶余饭后	cháyú-fànhòu		3	肆一Db
查	chá	动	2	陆一Ia
查	chá	动	1	陆一Ia
查	chá	动	1	陆五Ca
查处	cháchǔ	动	4	陆七Da
查获	cháhuò	动	4	陆七Ba
查看	chákàn	动	2	陆一Ia
查看	chákàn	动	2	陆五Ca
查明	chámíng	动	3	陆一Ia
查询	cháxún	动	3	陆一Ia
查询	cháxún	动	3	陆九Fd
查找	cházhǎo	动	2	伍七Jc
察觉	chájué	动	3	伍五Tb
察看	chákàn	动	3	伍七He
察言观色	cháyán-guānsè		3	伍七He
岔	chà	动	4	伍七Hj
诧异	chàyì	形	4	伍五Eb
差	chà	动	2	柒六Ib
差	chà	形	1	捌四Bb
差不多	chà·buduō	形	2	柒六Ec
差点儿	chàdiǎnr	副	2	玖一Af
姹紫嫣红	chàzǐ-yānhóng		4	捌三La
拆	chāi	动	2	伍七Hj
拆除	chāichú	动	3	柒五Cb
拆迁	chāiqiān	动	3	伍七Ae
拆散	chāisàn	动	3	伍七Hj
柴	chái	名	2	贰四Ba
柴草	cháicǎo	名	3	贰四Ba
掺杂	chānzá	动	4	柒二Ic
搀	chān	动	4	伍一Cb
搀扶	chānfú	动	4	伍一Cb
婵娟	chánjuān	名	4	贰三Ad
馋	chán	形	2	伍四Gd
孱弱	chánruò	形	4	捌三Jb
缠	chán	动	3	伍一Fb
缠	chán	动	3	柒二Ib
缠绕	chánrào	动	3	柒二Ib
蝉	chán	名	2	壹二Fb
蟾蜍	chánchú	名	4	壹二Ef
产	chǎn	动	2	陆三Ad
产品	chǎnpǐn	名	2	贰二Cc
产生	chǎnshēng	动	2	柒三Fb
产物	chǎnwù	名	2	叁一Be
产业	chǎnyè	名	3	叁四Eb
产值	chǎnzhí	名	3	叁七Ab
谄媚	chǎnmèi	动	4	陆十一Fa
铲	chǎn	动	3	伍一Jb
铲除	chǎnchú	动	4	柒五Ca
铲子	chǎn·zi	名	3	贰五Cb
阐明	chǎnmíng	动	4	陆九Fg
阐释	chǎnshì	动	4	陆五Dc
阐述	chǎnshù	动	4	陆九Fg
忏悔	chànhuǐ	动	4	伍五Jb
颤动	chàndòng	动	3	柒二La
颤抖	chàndǒu	动	3	伍三Dc
颤巍巍	chànwēiwēi	形	4	柒二Md
颤悠	chàn·you	动	4	柒二Md
昌盛	chāngshèng	形	3	捌六Ca
猖獗	chāngjué	形	4	捌五Ef
猖狂	chāngkuáng	形	4	捌五Ef
长	zhǎng	动	1	伍四Ab
长	cháng	形	1	捌一Aa
长城	Chángchéng	名	1	贰六Fa
长处	chángchù	名	2	叁二Bc
长度	chángdù	名	3	叁十Af
长短	chángduǎn	名	2	叁十Af
长方形	chángfāngxíng	名	2	叁二Aa
长话短说	chánghuà-duǎnshuō		2	陆九Fg
长久	chángjiǔ	形	2	捌三Qa
长空	chángkōng	名	3	肆二Ba
长眠	chángmián	动	4	伍四Cb
长年	chángnián	副	2	玖一Eg
长年累月	chángnián-lěiyuè		3	捌三Qa
长期	chángqī	名	2	肆一Bb
长期	chángqī	形	2	捌三Qa
长驱直入	chángqū-zhírù		4	陆六Ca
长寿	chángshòu	形	2	捌三Ia
长途	chángtú	形	2	捌三Ra
长啸	chángxiào	动	4	伍二Hb
长袖善舞	chángxiù-shànwǔ		4	捌五Xa
长吁短叹	chángxū-duǎntàn		4	伍五Bg
长夜	chángyè	名	3	肆一Fb
长远	chángyuǎn	形	3	捌三Qa
长征	chángzhēng	名	2	叁一Bf
长征	chángzhēng	动	2	陆四Ba
长治久安	chángzhì-jiǔ’ān		3	捌六Ba
肠	cháng	名	2	壹五Ak
肠胃	chángwèi	名	2	壹五Ak
尝	cháng	动	2	伍七Cc
尝试	chángshì	动	2	伍七Ea
常	cháng	副	1	玖一Fb
常常	chángcháng	副	1	玖一Fb
常规	chángguī	名	3	叁一Ad
常规	chángguī	形	3	捌四Ca
常见	chángjiàn	动	2	捌四Ca
常年	chángnián	副	2	玖一Eg
常人	chángrén	名	2	壹一Hb
常识	chángshí	名	2	叁八Ab
偿还	chánghuán	动	4	陆二Fb
